"Urban Area Name","Country","Urban landa c 2000 (sq. km.)","Urban landa c 2010 (sq. km.)","Increase in urban land 2000 - 2010 (sq. km.)","Average annual rate of increase in urban land 2000 - 2010 (%)","Urban populationc c 2000 (persons)","Urban populationc c 2010 (persons)","Change in urban population 2000 - 2010 (persons)","Average annual rate of change of urban population (%)","Average urban population density c2000 (persons/ sq. km.)","Average urban population density c2010 (persons/ sq. km.)","Urban expansion per additional urban inhabitant (sq. m./ person)","Administrative boundary arrangementd","lon","lat"
"Yangchun urban area","China",26.75,40.25,13.5,4.17037074627295,163247,233917,70670,3.66249504933811,6102.69158878505,5811.60248447205,191.028725060139,"Contained",111.791539,22.170438
"Huanggang urban area","China",28.8125,36.375,7.5625,2.35809767462175,209255,233802,24547,1.11538453622667,7262.6464208243,6427.54639175258,308.082454067707,"Contained",114.8722,30.453667
"Port Moresby urban area","Papua New Guinea",43,44.1875,1.1875,0.272789675401131,190406,233051,42645,2.04154700356755,4428.04651162791,5274.13861386139,27.8461718841599,"Contained",147.1506542,-9.4780123
"Ube urban area","Japan",94.1875,98.5625,4.375,0.455066178934244,206110,232669,26559,1.21944367478481,2188.29462508295,2360.62396956246,164.727587635077,"Fragmented",131.2467858,33.9515087
"Emeishan urban area","China",45,46.875,1.875,0.409054297765738,217588,230832,13244,0.592617136579043,4835.28888888889,4924.416,141.573542736333,"Contained",103.334737,29.516007
"Bandar Seri Begawan urban area","Brunei",144.4375,180.25,35.8125,2.23969166239556,155900,230300,74400,3.97879551397214,1079.21971097534,1277.69093334813,481.350806451613,"Contained",114.939821,4.9030522
"Qixia urban area","China",93.375,94.8125,1.4375,0.152892898751263,249828,229903,-19925,-0.827707483869661,2675.53413654618,2424.81740276862,-72.1455457967378,"Contained",118.909246,32.096228
"Hailun urban area","China",144.4375,146.6875,2.25,0.154695385822666,212607,229869,17262,0.783696857092477,1471.9653829511,1567.06604175543,130.344108446298,"Contained",126.973143,47.461971
"Shulan urban area","China",83.8125,85.4375,1.625,0.19221402920911,230497,228903,-1594,-0.0693710684914126,2750.15063385533,2679.18653986832,-1019.44792973651,"Contained",126.965607,44.406106
"Cheju urban area","South Korea",58.4375,65.75,7.3125,1.18599646116349,196707,227708,31001,1.4742493625866,3366.10909090909,3463.23954372624,235.879487758459,"Contained",126.4983023,33.4890113
"Jiangyou urban area","China",29.5625,51.4375,21.875,5.69486039168412,158661,227492,68831,3.66916347800322,5366.96828752643,4422.68772782503,317.807383301129,"Contained",104.745823,31.778022
"Tongchuan urban area","China",23.875,27.5625,3.6875,1.4466061902919,210249,227142,16893,0.775822325504657,8806.24083769634,8240.97959183673,218.285680459362,"Contained",108.945233,34.896756
"Laibin urban area","China",46.0625,63.5625,17.5,3.27265600335571,158559,227071,68512,3.65662812329567,3442.25780189959,3572.40511307768,255.429705744979,"Contained",109.221466,23.750306
"Koriyama urban area","Japan",64.9375,68.5,3.5625,0.535513539254489,197074,226794,29720,1.41453949102507,3034.82579403272,3310.86131386861,119.868775235532,"Spillover",140.3597421,37.400529
"Guangyuan urban area","China",34,55.9375,21.9375,5.10476694457001,150466,225271,74805,4.11820952060002,4425.47058823529,4027.19106145251,293.262482454381,"Contained",105.843357,32.435435
"Xiangxiang urban area","China",11.8125,27.0625,15.25,8.64321508236949,114254,224463,110209,6.98609473494686,9672.2962962963,8294.24480369515,138.373454073624,"Contained",112.535028,27.73412
"Asahikawa urban area","Japan",74,76,2,0.267038384839304,193024,224416,31392,1.51827990708902,2608.43243243243,2952.84210526316,63.710499490316,"Contained",142.364819,43.7706355
"Penglai urban area","China",98.3125,107.6875,9.375,0.914983952798128,235043,224157,-10886,-0.473095132094047,2390.7743165925,2081.55078351712,-861.197868822341,"Contained",120.758848,37.810661
"Lingbao urban area","China",52.5,54.125,1.625,0.305295246852697,219888,224033,4145,0.186924853301743,4188.34285714286,4139.17782909931,392.038600723764,"Contained",110.89422,34.516828
"Miluo urban area","China",14.4375,29.75,15.3125,7.49778044798588,119349,223108,103759,6.45587547412376,8266.5974025974,7499.42857142857,147.577559537004,"Contained",113.06724,28.806394
"Jiangjin urban area","China",23.0625,42.625,19.5625,6.33489360091267,132586,221778,89192,5.27907958483914,5748.9864498645,5203.00293255132,219.330208987353,"Contained",106.259281,29.290069
"Suizhou urban area","China",57.625,66.875,9.25,1.49982317769704,215368,220302,4934,0.226768125137798,3737.40563991323,3294.23551401869,1874.74665585732,"Contained",113.382458,31.690216
"Zhicheng urban area","China",19,44.5625,25.5625,8.89842400574529,108081,220252,112171,7.37843021560051,5688.47368421053,4942.54137447405,227.888669977089,"Contained",111.500775,30.297792
"Hakodate urban area","Japan",59.8125,60.5,0.6875,0.114352290666834,189272,219760,30488,1.50471765646963,3164.42215256008,3632.39669421488,22.5498556809236,"Spillover",140.7288103,41.7687933
"Dazhou urban area","China",22.1875,24.8125,2.625,1.12445996670021,171511,218048,46537,2.42972643999247,7730.07323943662,8787.82871536524,56.4067301287148,"Spillover",107.468023,31.209572
"Pangkalpinang urban area","Indonesia",42.1875,43.625,1.4375,0.335626086192272,159915,217454,57539,3.12116715391715,3790.57777777778,4984.61891117479,24.9830549714107,"Spillover",106.1169299,-2.1316266
"Phan Thiet urban area","Vietnam",19.4375,20,0.5625,0.285688149159319,153898,217256,63358,3.50799122505353,7917.58199356913,10862.8,8.87812115281417,"Spillover",108.2614775,10.9804603
"Qingyang urban area","China",48.125,57,8.875,1.7068985920441,206948,216955,10007,0.473340782753239,4300.21818181818,3806.22807017544,886.8791845708,"Contained",107.643631,35.709077
"Gaoping urban area","China",31.125,31.5,0.375,0.119833653680674,208971,216644,7673,0.361250612887069,6713.92771084337,6877.5873015873,48.8726704027108,"Contained",112.92392,35.797997
"Lianyuan urban area","China",17.0625,23.1875,6.125,3.11482908440188,164193,216597,52404,2.80867924150184,9623.03296703297,9341.11051212938,116.880390809862,"Contained",111.664316,27.692542
"Yichuan urban area","China",28.9375,34.75,5.8125,1.84726712989338,179494,215885,36391,1.8631854424977,6202.81641468682,6212.51798561151,159.723558022588,"Contained",110.168963,36.050178
"Beining urban area","China",64.3125,71.625,7.3125,1.08272107102221,201822,214885,13063,0.629139626496272,3138.14577259475,3000.13961605585,559.787185179515,"Contained",116.407395,39.904211
"Xinyi urban area","China",15.375,22.0625,6.6875,3.67736713003816,160574,214529,53955,2.93926860869655,10443.837398374,9723.6940509915,123.945880826615,"Contained",110.947044,22.354385
"Yingtan urban area","China",27.1875,34.4375,7.25,2.39204907059203,161062,214385,53323,2.90112687971759,5924.11954022989,6225.33575317604,135.96384299458,"Spillover",117.069202,28.260189
"Panshi urban area","China",102.6875,108.25,5.5625,0.528923598810118,217307,214054,-3253,-0.150714118371547,2116.19720024346,1977.40415704388,-1709.96003688903,"Contained",126.060427,42.946285
"Qionghai urban area","China",22.25,28.4375,6.1875,2.48401700886312,167905,213336,45431,2.42360364834842,7546.29213483146,7501.92527472527,136.195549294535,"Contained",110.474648,19.258342
"Dagupan urban area","Philippines",34.8125,36.625,1.8125,0.508835690502708,167367,213323,45956,2.45585575895858,4807.66965888689,5824.51877133106,39.4398990338585,"Fragmented",120.3333124,16.0432998
"Qionglai urban area","China",15.6875,33.875,18.1875,8.00218865239982,116585,211816,95231,6.15283775613967,7431.71314741036,6252.87084870849,190.982978231878,"Contained",103.464156,30.410275
"Suicheng urban area","China",28.75,35.75,7,2.20304135477834,193711,211130,17419,0.864784843771655,6737.77391304348,5905.73426573427,401.860037889661,"Contained",116.844406,26.8302
"Baicheng urban area","China",79.875,84.5625,4.6875,0.571909123850951,187459,210719,23260,1.17652056826083,2346.90453834116,2491.87287509239,201.52622527945,"Contained",122.838826,45.619588
"Wucheng urban area","China",54.25,55.1875,0.9375,0.171481721469735,201436,210685,9249,0.449933313383683,3713.10599078341,3817.62174405436,101.362309438858,"Contained",119.571633,29.086221
"Dengfeng urban area","China",28.6875,37.5625,8.875,2.73210302871622,158418,210649,52231,2.8905497213233,5522.19607843137,5607.96006655574,169.918247783883,"Contained",113.050256,34.453506
"Rushan urban area","China",48.4375,62.5625,14.125,2.59193885497842,167394,210019,42625,2.29440248129683,3455.87612903226,3356.94705294705,331.378299120235,"Contained",121.539764,36.919816
"Cenxi urban area","China",15.125,30.25,15.125,7.17734625364417,109990,209986,99996,6.68017363253314,7272.06611570248,6941.68595041322,151.25605024201,"Contained",110.994913,22.91835
"Dongfang urban area","China",43.5,48.4375,4.9375,1.08093402091399,170484,209323,38839,2.07357658089846,3919.1724137931,4321.50709677419,127.127371971472,"Contained",108.651815,19.095351
"Phan Rang urban area","Vietnam",25.1875,25.4375,0.25,0.0988150248663177,150176,208839,58663,3.35252879013103,5962.32258064516,8209.88697788698,4.2616299882379,"Fragmented",108.9912066,11.5825677
"Manzhouli urban area","China",45.875,57.9375,12.0625,2.3619068200722,143535,208612,65077,3.80975051589255,3128.82833787466,3600.63861920173,185.357345913303,"Contained",117.37853,49.597841
"Yizheng urban area","China",19.5625,37.6875,18.125,6.77689739579324,143696,208272,64576,3.78118394228495,7345.48242811502,5526.28855721393,280.677031714569,"Contained",119.184766,32.272258
"Jizhou urban area","China",66,67.1875,1.1875,0.178483856114456,213141,208042,-5099,-0.24184644051332,3229.40909090909,3096.43906976744,-232.888801725829,"Contained",115.579334,37.550821
"Jiutai urban area","China",95.125,112.6875,17.5625,1.70870095143588,236791,207954,-28837,-1.29021438358037,2489.26149802891,1845.40432612313,-609.026597773694,"Contained",125.839574,44.151742
"Linxia urban area","China",9.25,23.25,14,9.65492001542723,117004,207867,90863,5.91524713573431,12649.0810810811,8940.51612903226,154.078117605626,"Contained",103.210539,35.601182
"Nantou urban area","Taiwan",37,38.8125,1.8125,0.47938988459445,196193,206602,10409,0.518292196722871,5302.51351351351,5323.07890499195,174.128158324527,"Contained",120.9718638,23.9609981
"Morioka urban area","Japan",46.5,49.5625,3.0625,0.639860283208985,173698,206011,32313,1.72075131369233,3735.44086021505,4156.59016393443,94.7760963079875,"Spillover",141.1544838,39.702053
"Yongji urban area","China",63.6875,64.375,0.6875,0.107428142745236,193934,205631,11697,0.587372360469371,3045.08734052993,3194.26796116505,58.7757544669573,"Contained",110.447549,34.86705
"Hon Gai urban area","Vietnam",35.75,54.3125,18.5625,4.27072056816113,128787,203257,74470,4.66882490260032,3602.43356643357,3742.36133486766,249.261447562777,"Spillover",107.0448069,20.9711977
"Thanh Hoa urban area","Vietnam",21.1875,21.1875,0,4.86002942368119e-14,146712,202509,55797,3.27563385908943,6924.46017699115,9557.94690265487,0,"Spillover",105.7851816,19.806692
"Akita urban area","Japan",61.8125,62.8125,1,0.160613734619037,173999,202077,28078,1.50723858725533,2814.94843276036,3217.14626865672,35.6150722985968,"Spillover",140.1035697,39.7199218
"Jingmen urban area","China",42.125,45.125,3,0.690322093589592,177337,201786,24449,1.29993516879585,4209.78041543027,4471.71191135734,122.704405088143,"Contained",112.199427,31.035396
"Chaohu urban area","China",20.5625,38,17.4375,6.33366137163708,123832,201757,77925,5.00248383575921,6022.22492401216,5309.3947368421,223.772858517806,"Contained",117.890355,31.624522
"Sunchon urban area","South Korea",41.8125,48.75,6.9375,1.54694175882032,176374,201584,25210,1.34495855528265,4218.21225710015,4135.05641025641,275.188417294724,"Spillover",127.4872135,34.950637
"Khon-kaen urban area","Thailand",35.5,51.125,15.625,3.71474330342909,113270,200868,87598,5.89600722700066,3190.70422535211,3928.95843520782,178.371652320829,"Contained",NA,NA
"Hechuan urban area","China",14.75,28.4375,13.6875,6.78492313163293,121936,200820,78884,5.11567944702995,8266.84745762712,7061.8021978022,173.51427412403,"Contained",106.27613,29.972084
"Shangzhi urban area","China",89,98.1875,9.1875,0.987267103969987,184507,200797,16290,0.849659734745093,2073.11235955056,2045.03628262253,563.996316758748,"Contained",128.009895,45.209586
"Yongzhou urban area","China",24.1875,44.5625,20.375,6.30112395650961,133601,199908,66307,4.11230137308685,5523.55555555556,4486.01402524544,307.282790655587,"Contained",111.613445,26.420394
"Dipu urban area","China",10.625,35.1875,24.5625,12.7212892431004,87170,199111,111941,8.61075201933795,8204.23529411765,5658.57193605684,219.423624945284,"Contained",119.686617,30.631838
"Saga urban area","Japan",58.9375,66.125,7.1875,1.15733924018465,169036,197987,28951,1.59345890204721,2868.05514316013,2994.13232514178,248.264308659459,"Spillover",130.3008576,33.263482
"Enping urban area","China",36.875,47.25,10.375,2.51017581727873,161964,197889,35925,2.02352295480037,4392.24406779661,4188.12698412698,288.796102992345,"Contained",112.305145,22.183206
"Wulanhaote urban area","China",48.0625,54.4375,6.375,1.25329885327229,154128,196340,42212,2.4501796696007,3206.8244473342,3606.70493685419,151.023405666635,"Contained",122.093123,46.072732
"Gejiu urban area","China",33.125,41.8125,8.6875,2.35640518567101,164028,195765,31737,1.78451367263442,4951.78867924528,4681.9730941704,273.734127359234,"Contained",103.160034,23.359121
"Anning urban area","China",42.4375,64.3125,21.875,4.24483830754196,131438,192484,61046,3.88847454136587,3097.21354933726,2992.94849368319,358.336336533106,"Contained",102.478494,24.919493
"Jiayuguan urban area","China",35.25,48.3125,13.0625,3.20245749471025,120642,192386,71744,4.77737014113247,3422.46808510638,3982.11642949547,182.070974576271,"Contained",98.289152,39.77313
"Lingyuan urban area","China",34.6875,39.0625,4.375,1.19491814025237,189043,191868,2825,0.14844139714714,5449.88828828829,4911.8208,1548.67256637168,"Contained",119.401574,41.245445
"Changji urban area","China",81.875,103.5,21.625,2.37146154004224,154100,190469,36369,2.14148468745322,1882.13740458015,1840.28019323671,594.599796530012,"Contained",87.304112,44.013183
"Mianzhu urban area","China",13.875,36.6875,22.8125,10.2119058868506,97034,189940,92906,6.94715842823246,6993.44144144144,5177.2402044293,245.543883064603,"Contained",104.22075,31.338077
"Hongqiao urban area","China",13.5625,17.4375,3.875,2.54498997021452,136669,189176,52507,3.30458613884348,10076.9769585253,10848.8028673835,73.7996838516769,"Contained",121.384616,31.177398
"Touliu urban area","Taiwan",68.375,69.4375,1.0625,0.154317012925545,183432,188614,5182,0.278974130746699,2682.73491773309,2716.31323132313,205.036665380162,"Contained",120.5409089,23.7077947
"Sanchahe urban area","China",40.625,47.125,6.5,1.49526899518752,151778,188276,36498,2.17828610105668,3736.07384615385,3995.24668435013,178.091950243849,"Contained",114.137862,22.541373
"Jieshou urban area","China",35.6875,37.1875,1.5,0.41257069816897,206499,188019,-18480,-0.933144413962674,5786.31173380035,5055.9731092437,-81.1688311688312,"Contained",115.374564,33.257013
"Fukushima urban area","Japan",48.5625,49.75,1.1875,0.241880414579996,167358,187772,20414,1.15758101231691,3446.23938223938,3774.31155778894,58.1708631331439,"Spillover",140.4747282,37.7608337
"Yongzhou urban area","China",24.125,36.3125,12.1875,4.17389027321107,114497,187648,73151,5.06425449324983,4745.9896373057,5167.58691910499,166.607428469877,"Contained",111.613445,26.420394
"Wanning urban area","China",20.4375,24.875,4.4375,1.98434992763174,147316,186854,39538,2.40596351593366,7208.12232415902,7511.71859296482,112.233800394557,"Contained",110.391073,18.795143
"Qingtongxia urban area","China",18.5625,39.625,21.0625,7.87809801469518,125349,186604,61255,4.05908613619178,6752.80808080808,4709.24921135647,343.849481674965,"Contained",106.078818,38.021302
"Fu'an urban area","China",22.4375,27.875,5.4375,2.19368061482449,157285,186341,29056,1.70963868315989,7009.91643454039,6684.87892376682,187.138628854626,"Contained",119.64777,27.088049
"Lucena urban area","Philippines",10.9375,15.75,4.8125,3.71372893366824,124417,185455,61038,4.07247482946519,11375.2685714286,11774.9206349206,78.8443264851404,"Contained",121.6234471,13.9413957
"Tawau urban area","Malaysia",46.6875,52,5.3125,1.08350036366036,121818,184783,62965,4.25455883872921,2609.22088353414,3553.51923076923,84.3722703089018,"Contained",117.8911861,4.244651
"Aomori urban area","Japan",54.75,59.1875,4.4375,0.782374703147492,155398,184780,29382,1.74684556546898,2838.3196347032,3121.94297782471,151.027840174256,"Contained",140.7473647,40.822072
"Jiaohe urban area","China",108.875,116.875,8,0.711565203844378,184171,184384,213,0.0115593240715579,1691.58208955224,1577.61711229947,37558.6854460094,"Contained",89.066056,42.953244
"Wuyuan urban area","China",16.0625,34.6875,18.625,8.00304151171842,95037,182644,87607,6.75083214429325,5916.70038910506,5265.41261261261,212.597166893056,"Contained",117.861798,29.248086
"Zhaotong urban area","China",12.875,23.9375,11.0625,6.39792427568045,97458,182357,84899,6.46589134751097,7569.55339805825,7618.04699738903,130.301888125891,"Contained",103.717465,27.338257
"Jurong urban area","China",16.6875,36.3125,19.625,8.08526385993625,91102,181619,90517,7.14288514415069,5459.29588014981,5001.55593803787,216.810101969796,"Contained",119.168695,31.944999
"Hachinohe urban area","Japan",67.75,69.9375,2.1875,0.318280703959465,155373,181477,26104,1.5651242147952,2293.32841328413,2594.8453976765,83.7994177137603,"Spillover",141.4883986,40.5122839
"Huangshan urban area","China",16,31.3125,15.3125,6.94482546927865,105969,181021,75052,5.50062011864485,6623.0625,5781.10978043912,204.025209188296,"Spillover",118.169798,30.113962
"Yan'an urban area","China",39.75,41.375,1.625,0.401473681026505,151758,180804,29046,1.76668878997039,3817.81132075472,4369.88519637462,55.9457412380362,"Contained",109.489757,36.585445
"Dili urban area","Timor-Leste",28.375,28.375,0,5.15192378112406e-14,115901,180734,64833,4.54307441672176,4084.61674008811,6369.48017621145,0,"Contained",125.5603143,-8.5568557
"Jinchang urban area","China",26.625,32.5625,5.9375,2.0335066122378,152876,179453,26577,1.61577674175817,5741.82159624413,5511.03262955854,223.4074575761,"Contained",102.188043,38.520089
"Lengshuijiang urban area","China",18.9375,29.6875,10.75,4.59841367037384,152023,179323,27300,1.66528201996409,8027.61716171617,6040.35368421053,393.772893772894,"Contained",111.434984,27.686252
"Anshun urban area","China",19.5625,21.8125,2.25,1.09463508158097,169308,179095,9787,0.563550503970786,8654.72204472843,8210.65902578797,229.896801880045,"Contained",105.947594,26.253072
"Thai Nguyen urban area","Vietnam",21.9375,21.9375,0,6.80208004159951e-14,129450,178680,49230,3.27551965362593,5900.8547008547,8144.95726495726,0,"Spillover",105.8252038,21.5671559
"Karamay urban area","China",43,44.75,1.75,0.399710008391374,98053,178304,80251,6.16222693690012,2280.3023255814,3984.4469273743,21.8065818494474,"Contained",84.889207,45.579889
"Dongtai urban area","China",21,37.625,16.625,6.00484647431266,126160,178066,51906,3.50609693252543,6007.61904761905,4732.6511627907,320.290525180133,"Contained",120.320752,32.866933
"Ankang urban area","China",21.375,30.25,8.875,3.5337454907328,125203,178060,52857,3.584592860042,5857.45029239766,5886.28099173554,167.905859205025,"Contained",109.029022,32.684715
"Ji'an urban area","China",24.6875,32.1875,7.5,2.68831162133009,131835,178054,46219,3.05097404250367,5340.15189873418,5531.77475728155,162.270927540622,"Contained",114.964696,27.087637
"Xuancheng urban area","China",13.75,31.4375,17.6875,8.62118350347841,86430,176933,90503,7.42724365198028,6285.81818181818,5628.08747514911,195.435510425069,"Contained",118.758588,30.94069
"Zhaozhen urban area","China",21.875,32,10.125,3.87718969437842,136528,176816,40288,2.61952104068725,6241.28,5525.5,251.315528196982,"Contained",104.439764,30.856856
"Sanming urban area","China",18.5625,23.5,4.9375,2.38660427776947,144318,176483,32165,2.03243180524223,7774.70707070707,7509.91489361702,153.505362972175,"Spillover",117.638678,26.263407
"Kluang urban area","Malaysia",53.625,59.0625,5.4375,0.970487259418945,121799,175927,54128,3.7454066739814,2271.31002331002,2978.6582010582,100.456325746379,"Contained",103.3184639,2.030068
"Wusu urban area","China",126.1875,136.75,10.5625,0.807095044960637,107374,175487,68113,5.03513107731775,850.908370480436,1283.26873857404,155.073187203618,"Contained",84.678549,44.435508
"Fangchengang urban area","China",34.1875,42.25,8.0625,2.14001962447811,116041,175179,59138,4.20464010908209,3394.25228519196,4146.24852071006,136.333660252291,"Spillover",108.353847,21.68686
"Hami urban area","China",54.5,59.375,4.875,0.860406003475394,137109,174938,37829,2.46648049539867,2515.76146788991,2946.32421052632,128.869385920854,"Contained",93.515151,42.81842
"Pingliang urban area","China",15.6875,33.75,18.0625,7.96226911427256,82335,174267,91932,7.78617651003237,5248.44621513944,5163.46666666667,196.476743680111,"Contained",106.665131,35.543061
"Huadian urban area","China",80,87.0625,7.0625,0.849584829086368,161225,173387,12162,0.729902753387079,2015.3125,1991.52333094042,580.702187140273,"Contained",126.74631,42.972097
"Nanma urban area","China",20.875,25.5625,4.6875,2.04639902945787,144072,173058,28986,1.85004132016009,6901.65269461078,6769.99511002445,161.716000827986,"Contained",121.275156,37.186393
"Yamagata urban area","Japan",76.875,84.1875,7.3125,0.91279810316516,136878,171192,34314,2.26216465100885,1780.52682926829,2033.46102449889,213.105438013639,"Spillover",140.3636333,38.2404355
"Shangmei urban area","China",14.9375,24,9.0625,4.85601108710379,105612,170866,65254,4.92868702520608,7070.25941422594,7119.41666666667,138.880375149416,"Contained",111.304291,27.742721
"Bijie urban area","China",7.375,17.1875,9.8125,8.82910777273845,81387,170654,89267,7.68523079814764,11035.5254237288,9928.96,109.923039869157,"Contained",105.291644,27.283955
"Nagaoka urban area","Japan",54.8125,57,2.1875,0.392096672553013,145349,169648,24299,1.55789007902994,2651.74914481186,2976.28070175439,90.0242808346023,"Spillover",138.8512772,37.4462652
"Wucheng urban area","China",13.6875,28.75,15.0625,7.70388564833637,96557,167699,71142,5.67558748693177,7054.39269406393,5833.00869565217,211.72443844705,"Contained",119.571633,29.086221
"Gaoyou urban area","China",19.25,31.25,12,4.96437611893452,118090,167602,49512,3.56347332172837,6134.54545454545,5363.264,242.365487154629,"Contained",119.459161,32.781659
"Huaicheng urban area","China",19.125,27.9375,8.8125,3.86246118276172,108607,167335,58728,4.41740528969404,5678.79738562091,5989.61968680089,150.056191254597,"Contained",112.190653,23.913817
"Nanping urban area","China",35.6875,47.375,11.6875,2.87345118634156,141665,167192,25527,1.67057803773487,3969.59719789842,3529.11873350923,457.848552513025,"Contained",118.177708,26.641769
"Jiangshan urban area","China",31.1875,47.5625,16.375,4.31059222287791,128131,166812,38681,2.67324954142673,4108.40881763527,3507.21681997372,423.334453607714,"Contained",118.626974,28.737223
"Udon Thani urban area","Thailand",39.6875,49.875,10.1875,2.31113830274213,111426,165866,54440,4.05838543085065,2807.5842519685,3325.63408521303,187.132623071271,"Spillover",102.8158924,17.3646969
"Yuanjiang urban area","China",18.75,27.75,9,3.99828355909522,121115,164583,43468,3.11425398718683,6459.46666666667,5930.91891891892,207.048863531794,"Contained",112.355954,28.847045
"Sibu urban area","Malaysia",67.125,74.75,7.625,1.08173549909144,111129,163368,52239,3.92833235264873,1655.5530726257,2185.52508361204,145.963743563238,"Contained",111.830535,2.287284
"Chongjin urban area","North Korea",57.6875,58.5625,0.875,0.150653846413991,150075,163365,13290,0.85212803749176,2601.51679306609,2789.58377801494,65.8389766741911,"Spillover",129.723402,41.7669671
"Ziyang urban area","China",20.375,25.625,5.25,2.31907979456219,151734,163358,11624,0.740882288215674,7447.06748466258,6374.94634146341,451.651754989677,"Contained",104.627636,30.128901
"Xifeng urban area","China",13.875,23.8125,9.9375,5.54974784337818,93835,162283,68448,5.63086031253932,6762.88288288288,6815.03412073491,145.183204768583,"Contained",124.727393,42.73803
"Play Cu urban area","Vietnam",26.3125,27.0625,0.75,0.281444255997542,115234,161358,46124,3.42391809456454,4379.43942992874,5962.42032332563,16.2605151331194,"Contained",108.0150796,13.9718356
"Houma urban area","China",24.4375,24.9375,0.5,0.202743816950082,149392,159956,10564,0.685590018346396,6113.22762148338,6414.27568922306,47.3305566073457,"Contained",111.372002,35.619105
"Namp'o urban area","North Korea",16.5625,17.25,0.6875,0.407538586442145,142194,159524,17330,1.15665874647063,8585.29811320755,9247.76811594203,39.6710905943451,"Spillover",125.3246769,38.7522606
"Jaya Pura urban area","Indonesia",15.125,15.6875,0.5625,0.365819622347496,116975,158366,41391,3.07584158065941,7733.88429752066,10095.0438247012,13.5899108501848,"Contained",NA,NA
"Jiande urban area","China",30.75,43.875,13.125,3.61847610863461,130266,157762,27496,1.93354602857606,4236.29268292683,3595.7150997151,477.34215885947,"Contained",119.281164,29.474871
"Sishui urban area","China",33.4375,35.3125,1.875,0.547080894328005,156845,157650,805,0.0512064005288323,4690.69158878505,4464.42477876106,2329.19254658385,"Contained",117.251195,35.664323
"Tarakan urban area","Indonesia",26.9375,29.5,2.5625,0.912850249240463,115119,157534,42415,3.18646374585211,4273.55916473318,5340.13559322034,60.4149475421431,"Contained",117.5785049,3.3273599
"Hikone urban area","Japan",51.8125,57.625,5.8125,1.068923281116,132601,157256,24655,1.71992763434029,2559.24728588661,2728.95444685466,235.753396876901,"Fragmented",136.2596226,35.274461
"Macheng urban area","China",39.375,46.3125,6.9375,1.63604710771258,173035,157226,-15809,-0.953521135372998,4394.53968253968,3394.89338731444,-438.83231070909,"Contained",115.008163,31.17274
"Sariwon urban area","North Korea",12.75,13,0.25,0.19436951168987,145051,157014,11963,0.795644245257888,11376.5490196078,12078,20.897768118365,"Spillover",125.7516069,38.5023428
"Yitong urban area","China",64.9375,67.6875,2.75,0.415623889332972,151279,156662,5383,0.350260024713174,2329.60923965351,2314.48938134811,510.867545978079,"Contained",125.305394,43.345754
"Tiefa urban area","China",32.5,35.9375,3.4375,1.01048354301589,152244,156642,4398,0.28519039512212,4684.43076923077,4358.73391304348,781.605275125057,"Contained",123.555153,42.458856
"Changqing urban area","China",29.25,31.4375,2.1875,0.723825787921733,129007,155132,26125,1.86120548220811,4410.49572649573,4934.61630218688,83.7320574162679,"Contained",116.751937,36.553571
"Xilinhaote urban area","China",41.75,54.1875,12.4375,2.64180093783373,96021,155002,58981,4.90522213983042,2299.90419161677,2860.47520184544,210.872992997745,"Contained",116.086032,43.933411
"Yongqing urban area","China",55.3125,55.625,0.3125,0.0563540501143333,160676,154707,-5969,-0.37785342615976,2904.87683615819,2781.24943820225,-52.3538281119115,"Contained",116.499028,39.321794
"Dumai urban area","Indonesia",24.625,24.75,0.125,0.0506458402426098,115868,154526,38658,2.9209544904532,4705.29949238579,6243.47474747475,3.23348336696156,"Contained",101.4001855,1.6666349
"Cam Pha urban area","Vietnam",18.6875,28.5,9.8125,4.31082143536625,103821,154489,50668,4.0545883468647,5555.63879598662,5420.66666666667,193.662666771927,"Contained",107.3139304,21.0694762
"Tuy Hoa urban area","Vietnam",19.6875,20.4375,0.75,0.374575106330212,110633,154459,43826,3.39340857375911,5619.45396825397,7557.62691131498,17.1131291927167,"Spillover",109.295048,13.1057062
"Xidu urban area","China",12.875,17,4.125,2.81824067352785,121454,153835,32381,2.39160091288697,9433.32038834952,9049.11764705882,127.389518544826,"Contained",112.3724728,26.9690227
"Nehe urban area","China",155.125,155.125,0,5.16894098271014e-14,163518,152232,-11286,-0.712622746405597,1054.10475423046,981.350523771152,0,"Contained",124.884244,48.484099
"Fengcheng urban area","China",43.5,51.4375,7.9375,1.69019018348582,136674,152218,15544,1.08297392276111,3141.93103448276,2959.28068043742,510.647195059187,"Contained",115.771094,28.159142
"Yosu  urban area","South Korea",28.25,30.9375,2.6875,0.912897549674221,135478,152207,16729,1.17112631846925,4795.6814159292,4919.82222222222,160.64917209636,"Contained",127.6622221,34.7603737
"Chizhou urban area","China",19.4375,30.5,11.0625,4.60825156305235,96583,152073,55490,4.64419519808908,4968.90032154341,4986,199.360245089205,"Contained",117.491568,30.6648
"Wuxue urban area","China",18.625,21.625,3,1.5046606187576,153028,151241,-1787,-0.117394240749499,8216.26845637584,6993.80346820809,-1678.79127028539,"Contained",115.561217,29.844107
"Hualien urban area","Taiwan",43.375,48.8125,5.4375,1.18803361202126,134798,151183,16385,1.15374146337767,3107.734870317,3097.21895006402,331.858407079646,"Contained",121.6111949,23.9910732
